Date,Source,Destination,Seconds,CallerID,Disposition,Cost,Peer
2018-07-26 03:47:00,9894472222,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-26 04:26:00,7134169006,18887692278,31,,ANSWERED,0.013000000000000001,18887692278
2018-07-26 05:52:00,7132195725,18887692278,20,,ANSWERED,0.013000000000000001,18887692278
2018-07-26 06:05:00,7132195725,18887692278,4,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 01:42:00,4794195577,18887692278,76,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 01:44:00,4794195577,18887692278,67,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 02:28:00,4794195577,18887692278,126,,ANSWERED,0.039,18887692278
2018-07-27 03:52:00,4794195577,18887692278,84,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 03:58:00,4794195577,18887692278,35,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 04:02:00,4794195577,18887692278,228,,ANSWERED,0.052000000000000005,18887692278
2018-07-27 04:04:00,4794195577,18887692278,42,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 04:07:00,4794195577,18887692278,166,,ANSWERED,0.039,18887692278
2018-07-27 04:12:00,4794195577,18887692278,156,,ANSWERED,0.039,18887692278
2018-07-27 04:17:00,4794195577,18887692278,62,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 04:27:00,4794195577,18887692278,45,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 04:27:00,4794195577,18887692278,7,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 04:28:00,4794195577,18887692278,4,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 04:29:00,4794195577,18887692278,43,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 04:31:00,4794195577,18887692278,99,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 04:43:00,4794195577,18887692278,79,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 04:44:00,4794195577,18887692278,104,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 04:46:00,4794195577,18887692278,65,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 05:43:00,4794195577,18887692278,20,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 05:43:00,4794195577,18887692278,78,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 05:44:00,4794195577,18887692278,87,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 08:27:00,4794195577,18887692278,44,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 08:30:00,4794195577,18887692278,130,,ANSWERED,0.039,18887692278
2018-07-27 08:55:00,4794195577,18887692278,39,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 08:57:00,4794195577,18887692278,71,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 09:00:00,4794195577,18887692278,97,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 09:02:00,4794195577,18887692278,133,,ANSWERED,0.039,18887692278
2018-07-27 09:12:00,4794195577,18887692278,33,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 09:28:00,7132391834,18887692278,35,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 09:28:00,4794195577,18887692278,92,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 09:30:00,4794195577,18887692278,88,,ANSWERED,0.026000000000000002,18887692278
2018-07-27 10:00:00,4794195577,18887692278,335,,ANSWERED,0.078,18887692278
2018-07-27 10:24:00,4794195577,18887692278,160,,ANSWERED,0.039,18887692278
2018-07-27 10:46:00,4794195577,18887692278,14,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 10:53:00,4794195577,18887692278,319,,ANSWERED,0.078,18887692278
2018-07-27 11:32:00,7134169006,18887692278,209,,ANSWERED,0.052000000000000005,18887692278
2018-07-27 11:40:00,4794195577,18887692278,51,,ANSWERED,0.013000000000000001,18887692278
2018-07-27 11:47:00,4794195577,18887692278,407,,ANSWERED,0.091,18887692278
2018-07-27 11:54:00,4794195577,18887692278,191,,ANSWERED,0.052000000000000005,18887692278
2018-07-27 12:29:00,4794195577,18887692278,101,,ANSWERED,0.026000000000000002,18887692278
2018-07-28 02:01:00,4794195577,18887692278,65,,ANSWERED,0.026000000000000002,18887692278
2018-07-28 02:02:00,4794195577,18887692278,15,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 02:02:00,4794195577,18887692278,22,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 02:03:00,4794195577,18887692278,34,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 02:10:00,4794195577,18887692278,420,,ANSWERED,0.091,18887692278
2018-07-28 02:34:00,4794195577,18887692278,49,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 02:35:00,4794195577,18887692278,72,,ANSWERED,0.026000000000000002,18887692278
2018-07-28 02:38:00,4794195577,18887692278,116,,ANSWERED,0.026000000000000002,18887692278
2018-07-28 02:55:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 02:56:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 02:59:00,4794195577,18887692278,172,,ANSWERED,0.039,18887692278
2018-07-28 03:00:00,4794195577,18887692278,43,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 03:04:00,4794195577,18887692278,194,,ANSWERED,0.052000000000000005,18887692278
2018-07-28 03:09:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:09:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:10:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:10:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:10:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:10:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:11:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:11:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:12:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:12:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:12:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:12:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:14:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:14:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:14:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:14:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:15:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:15:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:15:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:16:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:16:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:16:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:17:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:17:00,4794195577,18887692278,0,,CANCELLED,0.0,18887692278
2018-07-28 03:19:00,4794195577,18887692278,52,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 03:19:00,4794195577,18887692278,10,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 03:21:00,4794195577,18887692278,11,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 04:46:00,4794195577,18887692278,121,,ANSWERED,0.039,18887692278
2018-07-28 05:45:00,4794195577,18887692278,78,,ANSWERED,0.026000000000000002,18887692278
2018-07-28 06:23:00,4794195577,18887692278,93,,ANSWERED,0.026000000000000002,18887692278
2018-07-28 07:26:00,4794195577,18887692278,51,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 07:35:00,4794195577,18887692278,20,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 07:40:00,4794195577,18887692278,297,,ANSWERED,0.065,18887692278
2018-07-28 08:49:00,4794195577,18887692278,44,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 09:43:00,4794195577,18887692278,10,,ANSWERED,0.013000000000000001,18887692278
2018-07-28 11:31:00,4794195577,18887692278,77,,ANSWERED,0.026000000000000002,18887692278
2018-07-28 12:12:00,4794195577,18887692278,61,,ANSWERED,0.026000000000000002,18887692278
2018-07-29 01:40:00,4794195577,18887692278,73,,ANSWERED,0.026000000000000002,18887692278
2018-07-29 02:27:00,4794195577,18887692278,79,,ANSWERED,0.026000000000000002,18887692278
2018-07-29 03:05:00,4794195577,18887692278,85,,ANSWERED,0.026000000000000002,18887692278
2018-07-29 03:36:00,4794195577,18887692278,293,,ANSWERED,0.065,18887692278
2018-07-29 03:43:00,4794195577,18887692278,98,,ANSWERED,0.026000000000000002,18887692278
2018-07-29 04:32:00,4794195577,18887692278,33,,ANSWERED,0.013000000000000001,18887692278
2018-07-29 04:38:00,4794195577,18887692278,340,,ANSWERED,0.078,18887692278
2018-07-29 07:35:00,4794195577,18887692278,143,,ANSWERED,0.039,18887692278
2018-07-29 07:46:00,4794195577,18887692278,97,,ANSWERED,0.026000000000000002,18887692278
2018-07-29 08:06:00,4794195577,18887692278,93,,ANSWERED,0.026000000000000002,18887692278
2018-07-29 08:07:00,4794195577,18887692278,59,,ANSWERED,0.013000000000000001,18887692278
2018-07-29 08:46:00,4794195577,18887692278,254,,ANSWERED,0.065,18887692278
2018-07-29 08:49:00,4794195577,18887692278,121,,ANSWERED,0.039,18887692278
2018-07-29 08:57:00,4794195577,18887692278,106,,ANSWERED,0.026000000000000002,18887692278
2018-07-29 09:27:00,4794195577,18887692278,64,,ANSWERED,0.026000000000000002,18887692278
2018-07-29 09:28:00,4794195577,18887692278,37,,ANSWERED,0.013000000000000001,18887692278
2018-07-29 09:35:00,4794195577,18887692278,13,,ANSWERED,0.013000000000000001,18887692278
2018-07-29 12:34:00,4794195577,18887692278,53,,ANSWERED,0.013000000000000001,18887692278
2018-07-30 01:43:00,4794195577,18887692278,0,,ANSWERED,0.0,18887692278
2018-07-30 01:44:00,4794195577,18887692278,3,,ANSWERED,0.013000000000000001,18887692278
2018-07-30 01:45:00,4794195577,18887692278,1,,ANSWERED,0.013000000000000001,18887692278
2018-07-30 01:45:00,4794195577,18887692278,8,,ANSWERED,0.013000000000000001,18887692278
2018-07-30 02:24:00,4794195577,18887692278,146,,ANSWERED,0.039,18887692278
2018-07-30 04:02:00,4794195577,18887692278,477,,ANSWERED,0.10400000000000001,18887692278
2018-07-30 04:46:00,4794195577,18887692278,34,,ANSWERED,0.013000000000000001,18887692278
2018-07-30 04:46:00,4794195577,18887692278,119,,ANSWERED,0.026000000000000002,18887692278
2018-07-30 05:45:00,4794195577,18887692278,149,,ANSWERED,0.039,18887692278
2018-07-30 05:47:00,4794195577,18887692278,59,,ANSWERED,0.013000000000000001,18887692278
2018-07-30 05:49:00,4794195577,18887692278,107,,ANSWERED,0.026000000000000002,18887692278
2018-07-30 06:55:00,4794195577,18887692278,169,,ANSWERED,0.039,18887692278
2018-07-30 08:37:00,4794195577,18887692278,63,,ANSWERED,0.026000000000000002,18887692278
2018-07-30 08:42:00,4794195577,18887692278,265,,ANSWERED,0.065,18887692278
2018-07-30 08:57:00,4794195577,18887692278,193,,ANSWERED,0.052000000000000005,18887692278
2018-07-30 09:01:00,4794195577,18887692278,197,,ANSWERED,0.052000000000000005,18887692278
2018-07-30 09:02:00,4794195577,18887692278,51,,ANSWERED,0.013000000000000001,18887692278
2018-07-30 09:13:00,4794195577,18887692278,34,,ANSWERED,0.013000000000000001,18887692278
2018-07-30 09:28:00,4794195577,18887692278,49,,ANSWERED,0.013000000000000001,18887692278
2018-07-30 09:35:00,4794195577,18887692278,16,,ANSWERED,0.013000000000000001,18887692278
2018-07-30 09:36:00,4794195577,18887692278,12,,ANSWERED,0.013000000000000001,18887692278
2018-07-31 03:28:00,4794195577,18887692278,292,,ANSWERED,0.065,18887692278
2018-07-31 04:37:00,4794195577,18887692278,51,,ANSWERED,0.013000000000000001,18887692278
2018-07-31 04:57:00,4794195577,18887692278,4,,ANSWERED,0.013000000000000001,18887692278
2018-07-31 06:18:00,4794195577,18887692278,110,,ANSWERED,0.026000000000000002,18887692278
2018-07-31 06:21:00,4794195577,18887692278,120,,ANSWERED,0.026000000000000002,18887692278
2018-07-31 07:36:00,4794195577,18887692278,71,,ANSWERED,0.026000000000000002,18887692278
2018-07-31 08:46:00,4794195577,18887692278,58,,ANSWERED,0.013000000000000001,18887692278
2018-07-31 08:56:00,4794195577,18887692278,39,,ANSWERED,0.013000000000000001,18887692278
2018-07-31 09:02:00,4794195577,18887692278,106,,ANSWERED,0.026000000000000002,18887692278
2018-07-31 09:11:00,4794195577,18887692278,39,,ANSWERED,0.013000000000000001,18887692278
2018-07-31 09:21:00,4794195577,18887692278,38,,ANSWERED,0.013000000000000001,18887692278
2018-07-31 09:25:00,4794195577,18887692278,44,,ANSWERED,0.013000000000000001,18887692278
2018-07-31 12:58:00,4794195577,18887692278,546,,ANSWERED,0.13,18887692278
2018-07-31 12:59:00,4794195577,18887692278,68,,ANSWERED,0.026000000000000002,18887692278
